fecha_inicio,fecha_fin,pago_unico_50,pago_unico_66,pago_unico_muerte,piso,resolucion,enlace
26/10/2012,28/02/2013,30000,40000,50000,180000,Res. SSS 34/2013,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
01/03/2013,31/08/2013,80000,100000,120000,180000,Res. SSS 34/2013,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
01/09/2013,28/02/2014,164280,205350,246420,369630,Res. SSS 34/2013,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
01/03/2014,31/08/2014,231948,289935,347922,521883,Res. SSS 3/2014,https://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227147/norma.htm
01/09/2014,28/02/2015,275740,344675,413610,620414,Res. SSS 22/2014,https://servicios.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234538/norma.htm
01/03/2015,31/08/2015,317101,396376,475651,713476,Res. SSS 6/2015,https://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243492/norma.htm
01/09/2015,29/02/2016,374158,467698,561238,841856,Res. SSS 28/2015,https://servicios.infoleg.gob.ar/infolegInternet/anexos/250000-254999/251642/norma.htm
01/03/2016,31/08/2016,419164,523955,628746,943119,Res. SSS 1/2016,https://servicios.infoleg.gob.ar/infolegInternet/anexos/255000-259999/259081/norma.htm
01/09/2016,28/02/2017,484865,606081,727297,1090945,Res. SSS 387-E/2016,https://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/265207/norma.htm
01/03/2017,31/08/2017,548864,686080,823296,1234944,Nota SRT S.C.E. 5619-17,
01/09/2017,28/02/2018,622606,778258,933910,1400864,Nota SRT S.C.E. 21161-17,
01/03/2018,31/08/2018,697718,872147,1046577,1569865,Nota SRT S.C.E. 6026-18,
01/09/2018,28/02/2019,785172,981465,1177758,1766636,Nota SRT G.C.P. 18437-18,
01/03/2019,31/08/2019,910954,1138693,1366431,2049647,Nota SRT G.C.P. 2727-19,https://www.argentina.gob.ar/sites/default/files/nota_gcp_incrementos_pisos_y_compensaciones_mar19_ago19.pdf
01/09/2019,29/02/2020,1103138,1378923,1654707,2482061,Nota SRT S.C.E. 76715123/19,
01/03/2020,31/08/2020,1315098,1643873,1972647,2958970,Res. SRT 24/2020,https://www.boletinoficial.gob.ar/detalleAviso/primera/227069/20200320
01/09/2020,28/02/2021,1548214,1935268,2322321,3483482,Res. SRT 70/2020,http://servicios.infoleg.gob.ar/infolegInternet/anexos/340000-344999/342344/norma.htm
01/03/2021,31/08/2021,1773911,2217389,2660806,3991300,Res. SRT 7/2021,https://www.boletinoficial.gob.ar/detalleAviso/primera/241633/20210310
01/09/2021,28/02/2022,2241959,2802449,3362938,5044408,Res. SRT 49/2021,https://www.boletinoficial.gob.ar/detalleAviso/primera/249004/20210902
01/03/2022,31/08/2022,2721484,3401855,4082225,6123338,Res. SRT 15/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/249004/20210902
01/09/2022,28/02/2023,3748097,4685122,5622145,8433218,Res. SRT 51/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/270604/20220831
01/03/2023,31/08/2023,5151039,6438799,7726557,11589837,Res. SRT 12/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/282329/20230308
01/09/2023,29/02/2024,8026323,10032904,12039481,18059225,Res. SRT 39/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/293738/20230908
01/03/2024,31/08/2024,12847372,16059215,19271052,28906583,Res. SRT 18/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/304534/20240311
01/09/2024,28/02/2025,24755211,30944014,37132805,55699217,Res. SRT 55/2024,https://www.boletinoficial.gov.ar/detalleAviso/primera/313183/20240902
01/03/2025,31/08/2025,31911034,39888793,47866537,71799818,Res. SRT 9/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/321945/20250226
01/09/2025,28/02/2026,38946415,48683019,58419605,87629423,Res. SRT 37/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/330683/20250901
01/03/2026,31/08/2026,43334414,54168018,65001602,97502420,Res. SRT 15/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/339106/20260305
