periodo,indice
2026-05-01,11601
2026-04-01,11363
2026-03-01,11077
2026-02-01,10715
2026-01-01,10413
2025-12-01,10121
2025-11-01,9841
2025-10-01,9604
2025-09-01,9384
2025-08-01,9193
2025-07-01,9024
2025-06-01,8856
2025-05-01,8714
2025-04-01,8586
2025-03-01,8353
2025-02-01,8053
2025-01-01,7864
2024-12-01,7694
2024-11-01,7491
2024-10-01,7314
2024-09-01,7122
2024-08-01,6883
2024-07-01,6608
2024-06-01,6352
2024-05-01,6074
2024-04-01,5830
2024-03-01,5357
2024-02-01,4826
2024-01-01,4262
2023-12-01,3533
2023-11-01,2816
2023-10-01,2496.3
2023-09-01,2304.9
2023-08-01,2044.3
2023-07-01,1818.1
2023-06-01,1709.6
2023-05-01,1613.6
2023-04-01,1497.2
2023-03-01,1381.2
2023-02-01,1282.7
2023-01-01,1203.0
2022-12-01,1134.6
2022-11-01,1079.3
2022-10-01,1028.7
2022-09-01,967.3
2022-08-01,911.1
2022-07-01,851.8
2022-06-01,793.0
2022-05-01,753.1
2022-04-01,716.9
2022-03-01,676.1
2022-02-01,633.4
2022-01-01,605.0
2021-12-01,582.5
2021-11-01,560.9
2021-10-01,547.1
2021-09-01,528.5
2021-08-01,510.4
2021-07-01,498.1
2021-06-01,483.6
2021-05-01,468.7
2021-04-01,453.7
2021-03-01,435.9
2021-02-01,415.9
2021-01-01,401.5
2020-12-01,385.9
2020-11-01,371.0
2020-10-01,359.7
2020-09-01,346.6
2020-08-01,337.1
2020-07-01,328.2
2020-06-01,322.0
2020-05-01,314.9
2020-04-01,310.1
2020-03-01,305.6
2020-02-01,295.7
2020-01-01,289.8
2019-12-01,283.4
2019-11-01,273.2
2019-10-01,262.1
2019-09-01,253.7
2019-08-01,239.61
2019-07-01,230.49
2019-06-01,225.54
2019-05-01,219.57
2019-04-01,212.96
2019-03-01,205.96
2019-02-01,196.75
2019-01-01,189.61
2018-12-01,184.26
2018-11-01,179.64
2018-10-01,174.15
2018-09-01,165.24
2018-08-01,155.1
2018-07-01,149.3
2018-06-01,144.81
2018-05-01,139.59
2018-04-01,136.75
2018-03-01,133.11
2018-02-01,130.06
2018-01-01,126.99
2017-12-01,124.8
2017-11-01,120.99
2017-10-01,119.35
2017-09-01,117.57
2017-08-01,115.38
2017-07-01,113.79
2017-06-01,111.85
2017-05-01,110.53
2017-04-01,108.97
2017-03-01,106.15
2017-02-01,103.69
2017-01-01,101.59
2016-12-01,100.0
