fecha_inicio,fecha_fin,norma,monto_minimo,enlace
01/09/2025,28/02/2026,Res. S.R.T. 37/2025,87629423,https://www.boletinoficial.gob.ar/detalleAviso/primera/330683/20250901
01/03/2025,31/08/2025,Res. S.R.T. 9/2025,71799818,https://www.boletinoficial.gob.ar/detalleAviso/primera/321945/20250226
01/09/2024,28/02/2025,Res. S.R.T. 55/2024,55699217,https://www.boletinoficial.gov.ar/detalleAviso/primera/313183/20240902
01/03/2024,31/08/2024,Res. S.R.T. 18/2024,28906583,https://www.boletinoficial.gob.ar/detalleAviso/primera/304534/20240311
01/09/2023,29/02/2024,Res. S.R.T. 39/2023,18059225,https://www.boletinoficial.gob.ar/detalleAviso/primera/293738/20230908
01/03/2023,31/08/2023,Res. S.R.T. 12/2023,11589837,https://www.boletinoficial.gob.ar/detalleAviso/primera/282329/20230308
01/09/2022,28/02/2023,Res. S.R.T. 51/2022,8433218,https://www.boletinoficial.gob.ar/detalleAviso/primera/270604/20220831
01/03/2022,31/08/2022,Res. S.R.T. 15/2022,6123338,https://www.boletinoficial.gob.ar/detalleAviso/primera/249004/20210902
01/09/2021,28/02/2022,Res. S.R.T. 49/2021,5044408,https://www.boletinoficial.gob.ar/detalleAviso/primera/249004/20210902
01/03/2021,31/08/2021,Res. S.R.T. 7/2021,3991300,https://www.boletinoficial.gob.ar/detalleAviso/primera/241633/20210310
01/09/2020,28/02/2021,Res. S.R.T. 70/2020,3483482,http://servicios.infoleg.gob.ar/infolegInternet/anexos/340000-344999/342344/norma.htm
01/03/2020,31/08/2020,Res. S.R.T. 24/2020,2958970,https://www.boletinoficial.gob.ar/detalleAviso/primera/227069/20200320
01/09/2019,29/02/2020,Nota S.C.E. 76715123/19**,2482061,
01/03/2019,31/08/2019,Nota G.C.P. 2727/19***,2049647,https://www.argentina.gob.ar/sites/default/files/nota_gcp_incrementos_pisos_y_compensaciones_mar19_ago19.pdf
01/09/2018,28/02/2019,Nota G.C.P. 18437/18***,1766636,
01/03/2018,31/8/2018,Nota S.C.E. 6026/18**,1569865,
01/09/2017,28/02/2018,Nota S.C.E. 21161/17**,1400864,
01/03/2017,31/8/2017,Nota S.C.E. 5649/17**,1234944,
01/09/2016,28/02/2017,Res. 387/16*,1090945,https://servicios.infoleg.gob.ar/infolegInternet/anexos/265000-269999/265207/norma.htm
01/03/2016,31/8/2016,Res. 1/2016*,943119,https://servicios.infoleg.gob.ar/infolegInternet/anexos/255000-259999/259081/norma.htm
01/09/2015,29/02/2016,Res. 28/2015*,841856,https://servicios.infoleg.gob.ar/infolegInternet/anexos/250000-254999/251642/norma.htm
01/03/2015,31/8/2015,Res. 6/2015*,713476,https://servicios.infoleg.gob.ar/infolegInternet/anexos/240000-244999/243492/norma.htm
01/09/2014,28/2/2015,Res. 22/2014*,620414,https://servicios.infoleg.gob.ar/infolegInternet/anexos/230000-234999/234538/norma.htm
01/03/2014,31/8/2014,Res. 3/2014*,521883,https://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227147/norma.htm
01/09/2013,28/2/2014,Res. 34/2013*,476649,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
01/03/2013,31/8/2013,Res. 34/2013*,416943,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
26/10/2012,28/2/2013,Res. 34/2013*,369630,https://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224358/norma.htm
06/11/2009,25/10/2012,Decreto 1694/09,180000,https://servicios.infoleg.gob.ar/infolegInternet/anexos/155000-159999/159765/norma.htm
