Valor,Desde,Hasta,Año,Mes
3.174,28/11/2025,30/11/2025,2025,11
3.198,27/11/2025,27/11/2025,2025,11
3.069,26/11/2025,26/11/2025,2025,11
3.161,25/11/2025,25/11/2025,2025,11
3.112,20/11/2025,24/11/2025,2025,11
3.087,19/11/2025,19/11/2025,2025,11
3.291,18/11/2025,18/11/2025,2025,11
3.205,17/11/2025,17/11/2025,2025,11
3.248,14/11/2025,16/11/2025,2025,11
3.359,13/11/2025,13/11/2025,2025,11
3.452,12/11/2025,12/11/2025,2025,11
3.452,12/11/2025,12/11/2025,2025,11
3.427,11/11/2025,11/11/2025,2025,11
3.667,10/11/2025,10/11/2025,2025,11
4.037,07/11/2025,09/11/2025,2025,11
4.061,05/11/2025,06/11/2025,2025,11
4.389,04/11/2025,04/11/2025,2025,11
4.123,03/11/2025,03/11/2025,2025,11
4.875,31/10/2025,02/11/2025,2025,11
4.795,30/10/2025,30/10/2025,2025,10
4.746,29/10/2025,29/10/2025,2025,10
4.808,28/10/2025,28/10/2025,2025,10
4.869,27/10/2025,27/10/2025,2025,10
5.233,24/10/2025,26/10/2025,2025,10
5.646,23/10/2025,23/10/2025,2025,10
5.547,22/10/2025,22/10/2025,2025,10
5.122,21/10/2025,21/10/2025,2025,10
4.592,20/10/2025,20/10/2025,2025,10
4.887,17/10/2025,19/10/2025,2025,10
4.37,16/10/2025,16/10/2025,2025,10
4.352,15/10/2025,15/10/2025,2025,10
4.024,14/10/2025,14/10/2025,2025,10
4.031,13/10/2025,13/10/2025,2025,10
3.982,09/10/2025,13/10/2025,2025,10
4.043,08/10/2025,08/10/2025,2025,10
4.043,07/10/2025,07/10/2025,2025,10
3.908,06/10/2025,06/10/2025,2025,10
3.871,03/10/2025,05/10/2025,2025,10
3.982,02/10/2025,02/10/2025,2025,10
4.29,01/10/2025,01/10/2025,2025,10
4.579,30/09/2025,30/09/2025,2025,9
4.475,29/09/2025,29/09/2025,2025,9
4.463,26/09/2025,28/09/2025,2025,9
4.37,25/09/2025,25/09/2025,2025,9
4.265,24/09/2025,24/09/2025,2025,9
4.278,23/09/2025,23/09/2025,2025,9
4.401,22/09/2025,22/09/2025,2025,9
4.549,19/09/2025,21/09/2025,2025,9
5.023,18/09/2025,18/09/2025,2025,9
5.289,17/09/2025,17/09/2025,2025,9
5.819,16/09/2025,16/09/2025,2025,9
5.572,15/09/2025,15/09/2025,2025,9
5.449,12/09/2025,14/09/2025,2025,9
5.64,11/09/2025,11/09/2025,2025,9
5.578,10/09/2025,10/09/2025,2025,9
5.492,09/09/2025,09/09/2025,2025,9
5.738,08/09/2025,08/09/2025,2025,9
5.72,05/09/2025,07/09/2025,2025,9
5.824,04/09/2025,04/09/2025,2025,9
5.461,03/09/2025,03/09/2025,2025,9
5.757,02/09/2025,02/09/2025,2025,9
5.146,01/09/2025,01/09/2025,2025,9
5.239,29/08/2025,31/08/2025,2025,8
5.307,28/08/2025,28/08/2025,2025,8
5.27,27/08/2025,27/08/2025,2025,8
5.338,26/08/2025,26/08/2025,2025,8
4.9,25/08/2025,25/08/2025,2025,8
4.604,22/08/2025,24/08/2025,2025,8
4.376,21/08/2025,21/08/2025,2025,8
4.53,20/08/2025,20/08/2025,2025,8
4.13,19/08/2025,19/08/2025,2025,8
4.019,18/08/2025,18/08/2025,2025,8
3.889,14/08/2025,17/08/2025,2025,8
3.766,13/08/2025,13/08/2025,2025,8
3.883,12/08/2025,12/08/2025,2025,8
3.827,11/08/2025,11/08/2025,2025,8
3.747,08/08/2025,10/08/2025,2025,8
3.63,07/08/2025,07/08/2025,2025,8
3.482,06/08/2025,06/08/2025,2025,8
3.494,05/08/2025,05/08/2025,2025,8
3.272,04/08/2025,04/08/2025,2025,8
3.334,01/08/2025,03/08/2025,2025,8
3.42,31/07/2025,31/07/2025,2025,7
3.415,30/07/2025,30/07/2025,2025,7
3.396,29/07/2025,29/07/2025,2025,7
3.174,28/07/2025,28/07/2025,2025,7
3.1,25/07/2025,27/07/2025,2025,7
2.976,24/07/2025,24/07/2025,2025,7
2.958,23/07/2025,23/07/2025,2025,7
2.835,22/07/2025,22/07/2025,2025,7
2.847,21/07/2025,21/07/2025,2025,7
3.001,18/07/2025,20/07/2025,2025,7
3.087,17/07/2025,17/07/2025,2025,7
3.198,16/07/2025,16/07/2025,2025,7
3.131,15/07/2025,15/07/2025,2025,7
3.124,14/07/2025,14/07/2025,2025,7
3.198,11/07/2025,13/07/2025,2025,7
3.198,10/07/2025,10/07/2025,2025,7
3.223,08/07/2025,09/07/2025,2025,7
3.156,07/07/2025,07/07/2025,2025,7
3.205,04/07/2025,06/07/2025,2025,7
3.186,03/07/2025,03/07/2025,2025,7
