fecha,tasa_activa
06/2026,2.17
05/2026,2.17
04/2026,2.34
03/2026,2.96
02/2026,2.84
01/2026,3.05
12/2025,2.76
11/2025,3.54
10/2025,4.66
09/2025,5.11
08/2025,4.32
07/2025,3.25
06/2025,3.17
05/2025,3.38
04/2025,3.16
03/2025,2.94
02/2025,2.71
01/2025,3.24
12/2024,3.43
11/2024,3.72
10/2024,4.11
09/2024,3.88
08/2024,3.91
07/2024,3.67
06/2024,3.27
05/2024,4.24
04/2024,6.62
03/2024,9.20
02/2024,10.72
01/2024,10.78
12/2023,12.46
11/2023,12.74
10/2023,11.60
09/2023,11.22
08/2023,10.01
07/2023,9.44
06/2023,9.11
05/2023,8.77
04/2023,7.16
03/2023,7.16
02/2023,6.41
01/2023,7.07
12/2022,7.07
11/2022,6.82
10/2022,7.04
09/2022,6.42
08/2022,5.88
07/2022,5.17
06/2022,4.62
05/2022,4.59
04/2022,4.18
03/2022,4.07
02/2022,3.67
01/2022,3.84
12/2021,3.48
11/2021,3.37
10/2021,3.48
09/2021,3.36
08/2021,3.49
07/2021,3.47
06/2021,3.56
05/2021,3.47
04/2021,3.36
03/2021,3.47
02/2021,3.13
01/2021,3.49
12/2020,3.49
11/2020,3.36
10/2020,3.22
09/2020,2.94
08/2020,3.01
07/2020,3.00
06/2020,2.93
05/2020,2.67
04/2020,1.81
03/2020,2.96
02/2020,3.14
01/2020,4.17
12/2019,4.17
11/2019,4.39
10/2019,5.12
09/2019,5.84
08/2019,6.12
07/2019,5.18
06/2019,4.91
05/2019,5.37
04/2019,4.80
03/2019,4.41
02/2019,3.36
01/2019,4.55
12/2018,5.02
11/2018,6.89
10/2018,4.87
09/2018,3.33
08/2018,3.11
07/2018,3.11
06/2018,2.82
05/2018,2.45
04/2018,2.63
03/2018,2.72
02/2018,2.45
01/2018,2.72
12/2017,2.72
11/2017,2.14
10/2017,2.04
09/2017,1.97
08/2017,2.04
07/2017,2.04
06/2017,1.97
05/2017,2.04
04/2017,1.97
03/2017,2.04
02/2017,1.84
01/2017,2.11
12/2016,2.72
11/2016,2.22
10/2016,2.72
09/2016,2.63
08/2016,2.72
07/2016,2.76
06/2016,2.71
05/2016,2.80
04/2016,2.71
03/2016,2.78
02/2016,2.38
01/2016,2.38
12/2015,2.12
11/2015,2.05
10/2015,2.12
09/2015,2.05
08/2015,2.12
07/2015,2.12
06/2015,2.05
05/2015,2.12
04/2015,2.05
03/2015,2.12
02/2015,1.92
01/2015,2.12
12/2014,2.12
11/2014,2.05
10/2014,2.12
09/2014,2.05
08/2014,2.12
07/2014,2.12
06/2014,2.05
05/2014,2.12
04/2014,2.05
03/2014,2.12
02/2014,1.92
01/2014,1.65
12/2013,1.60
11/2013,1.55
10/2013,1.60
09/2013,1.55
08/2013,1.60
07/2013,1.60
06/2013,1.55
05/2013,1.60
04/2013,1.55
03/2013,1.60
02/2013,1.45
01/2013,1.60
12/2012,1.60
11/2012,1.55
10/2012,1.60
